"source.id","trans.id","transaction"
"d23fa829-8281-447d-9a69-2acf0a7f415e",1,"http://predictvia.com/#/en"
"1206d15a-510a-4603-9ba8-c4ca70838e9f",2,"https://www.vivelafete.com/boys/smocked-turkey-boys-overall-1.html"
"afb0e21b-8cdb-4fb6-a06a-972ec7d7306b",3,"https://www.vivelafete.com/collegiate.html?college=186"
"afb0e21b-8cdb-4fb6-a06a-972ec7d7306b",4,"https://www.vivelafete.com/collegiate.html?college=186"
"afb0e21b-8cdb-4fb6-a06a-972ec7d7306b",5,"https://www.vivelafete.com/collegiate.html?college=186"
"afb0e21b-8cdb-4fb6-a06a-972ec7d7306b",6,"https://www.vivelafete.com/collegiate.html?college=186"
"afb0e21b-8cdb-4fb6-a06a-972ec7d7306b",7,"https://www.vivelafete.com/collegiate.html?college=186"
"49fd703c-03b2-4ea6-b3d3-e8bde3475aea",8,"https://www.vivelafete.com/christmas-smocked-boys-long-bubble-7.html#"
"49fd703c-03b2-4ea6-b3d3-e8bde3475aea",9,"https://www.vivelafete.com/christmas-smocked-boys-long-bubble-7.html#"
"f575c995-059a-4168-9455-119567991d7a",10,"https://www.vivelafete.com/,https://www.vivelafete.com/sale-1.html,https://www.vivelafete.com/sale-1.html?size_range=41,https://www.vivelafete.com/sale-1.html?cat=89&size_range=41,https://www.vivelafete.com/sale-1.html?limit=all"
"2862794b-8c15-4c91-8c97-40744bfbb0b2",11,"https://www.vivelafete.com/newborn/newborn-boys/newborn-boys-bubbles/smocked-christmas-tree-boys-bubble.html,https://www.vivelafete.com/girls.html,https://www.vivelafete.com/girls.html?size_range=41"
"2862794b-8c15-4c91-8c97-40744bfbb0b2",12,"https://www.vivelafete.com/girls.html?apparel_collection=167&size_range=41"
"e00e391b-0075-43bb-ad18-829ed945e09c",13,"https://www.vivelafete.com/sale-1.html?limit=all"
"6ac90d51-f922-4c9c-97c6-276189d9303d",14,"https://www.vivelafete.com/girls/smocked-nutcracker-dress.html"
"6ac90d51-f922-4c9c-97c6-276189d9303d",15,"https://www.vivelafete.com/girls/girls-dresses/nutcracker-smocked-dress.html"
"d8a11250-c6ce-46b5-8596-8f76fae41559",16,"https://www.vivelafete.com/,https://www.vivelafete.com/newborn.html"
